species_a,species_b,missing_discriminator,proposed_trait_name,observable_by_normal_user,useful_for_how_many_species,recommended,notes
callosciurus_erythraeus,callosciurus_caniceps,"coarse rodent traits do not capture belly, side, cheek, or stripe-layout field marks",squirrel_ventral_or_side_pattern,yes,8,true,Similarity 1; matching traits: body_form|body_covering|movement_seen|observation_place|primary_color|tail_impression|tail_shape|rodent_tail_type. Needs source-backed schema design before any trait values are added.
petaurista_magnificus,petaurista_petaurista,"coarse gliding-mammal traits do not capture mantle, membrane, face, or tail-color layout",gliding_mammal_marking_pattern,yes,6,true,Similarity 1; matching traits: body_form|body_covering|movement_seen|observation_place|primary_color|tail_impression|tail_shape|gliding_membrane_visible. Needs source-backed schema design before any trait values are added.
rusa_unicolor,capricornis_milneedwardsi,"coarse ungulate traits do not capture obvious face, throat, mane, or lower-leg marking layout",ungulate_face_or_throat_marking,yes,6,true,Similarity 1; matching traits: body_form|body_covering|primary_color. Needs source-backed schema design before any trait values are added.
tragulus_kanchil,tragulus_napu,"coarse ungulate traits do not capture obvious face, throat, mane, or lower-leg marking layout",ungulate_face_or_throat_marking,yes,6,true,Similarity 1; matching traits: body_form|body_covering|observation_place|primary_color|tail_impression|leg_foot_appearance. Needs source-backed schema design before any trait values are added.
balaenoptera_acutorostrata,stenella_longirostris,"coarse cetacean traits do not capture simple head profile, scarring, or rorqual body-profile distinctions",cetacean_head_profile,limited,4,true,Similarity 1; matching traits: body_form|body_covering|movement_seen|observation_place|primary_color|cetacean_color_pattern. Needs source-backed schema design before any trait values are added.
balaenoptera_acutorostrata,tursiops_truncatus,"coarse cetacean traits do not capture simple head profile, scarring, or rorqual body-profile distinctions",cetacean_head_profile,limited,4,true,Similarity 1; matching traits: body_form|body_covering|movement_seen|observation_place|primary_color|cetacean_dorsal_fin|cetacean_color_pattern. Needs source-backed schema design before any trait values are added.
balaenoptera_borealis,balaenoptera_acutorostrata,"coarse cetacean traits do not capture simple head profile, scarring, or rorqual body-profile distinctions",cetacean_head_profile,limited,4,true,Exact current profile collision. Similarity 1; matching traits: body_form|body_covering|movement_seen|observation_place|primary_color|cetacean_dorsal_fin|cetacean_color_pattern. Needs source-backed schema design before any trait values are added.
balaenoptera_borealis,stenella_longirostris,"coarse cetacean traits do not capture simple head profile, scarring, or rorqual body-profile distinctions",cetacean_head_profile,limited,4,true,Similarity 1; matching traits: body_form|body_covering|movement_seen|observation_place|primary_color|cetacean_color_pattern. Needs source-backed schema design before any trait values are added.
balaenoptera_borealis,tursiops_truncatus,"coarse cetacean traits do not capture simple head profile, scarring, or rorqual body-profile distinctions",cetacean_head_profile,limited,4,true,Similarity 1; matching traits: body_form|body_covering|movement_seen|observation_place|primary_color|cetacean_dorsal_fin|cetacean_color_pattern. Needs source-backed schema design before any trait values are added.
balaenoptera_edeni,balaenoptera_acutorostrata,"coarse cetacean traits do not capture simple head profile, scarring, or rorqual body-profile distinctions",cetacean_head_profile,limited,4,true,Exact current profile collision. Similarity 1; matching traits: body_form|body_covering|movement_seen|observation_place|primary_color|cetacean_dorsal_fin|cetacean_color_pattern. Needs source-backed schema design before any trait values are added.
balaenoptera_edeni,balaenoptera_borealis,"coarse cetacean traits do not capture simple head profile, scarring, or rorqual body-profile distinctions",cetacean_head_profile,limited,4,true,Exact current profile collision. Similarity 1; matching traits: body_form|body_covering|movement_seen|observation_place|primary_color|cetacean_dorsal_fin|cetacean_color_pattern. Needs source-backed schema design before any trait values are added.
balaenoptera_edeni,stenella_longirostris,"coarse cetacean traits do not capture simple head profile, scarring, or rorqual body-profile distinctions",cetacean_head_profile,limited,4,true,Similarity 1; matching traits: body_form|body_covering|movement_seen|observation_place|primary_color|cetacean_color_pattern. Needs source-backed schema design before any trait values are added.
balaenoptera_edeni,tursiops_truncatus,"coarse cetacean traits do not capture simple head profile, scarring, or rorqual body-profile distinctions",cetacean_head_profile,limited,4,true,Similarity 1; matching traits: body_form|body_covering|movement_seen|observation_place|primary_color|cetacean_dorsal_fin|cetacean_color_pattern. Needs source-backed schema design before any trait values are added.
balaenoptera_physalus,balaenoptera_acutorostrata,"coarse cetacean traits do not capture simple head profile, scarring, or rorqual body-profile distinctions",cetacean_head_profile,limited,4,true,Exact current profile collision. Similarity 1; matching traits: body_form|body_covering|movement_seen|observation_place|primary_color|cetacean_dorsal_fin|cetacean_color_pattern. Needs source-backed schema design before any trait values are added.
balaenoptera_physalus,balaenoptera_borealis,"coarse cetacean traits do not capture simple head profile, scarring, or rorqual body-profile distinctions",cetacean_head_profile,limited,4,true,Exact current profile collision. Similarity 1; matching traits: body_form|body_covering|movement_seen|observation_place|primary_color|cetacean_dorsal_fin|cetacean_color_pattern. Needs source-backed schema design before any trait values are added.
balaenoptera_physalus,balaenoptera_edeni,"coarse cetacean traits do not capture simple head profile, scarring, or rorqual body-profile distinctions",cetacean_head_profile,limited,4,true,Exact current profile collision. Similarity 1; matching traits: body_form|body_covering|movement_seen|observation_place|primary_color|cetacean_dorsal_fin|cetacean_color_pattern. Needs source-backed schema design before any trait values are added.
balaenoptera_physalus,stenella_longirostris,"coarse cetacean traits do not capture simple head profile, scarring, or rorqual body-profile distinctions",cetacean_head_profile,limited,4,true,Similarity 1; matching traits: body_form|body_covering|movement_seen|observation_place|primary_color|cetacean_color_pattern. Needs source-backed schema design before any trait values are added.
balaenoptera_physalus,tursiops_truncatus,"coarse cetacean traits do not capture simple head profile, scarring, or rorqual body-profile distinctions",cetacean_head_profile,limited,4,true,Similarity 1; matching traits: body_form|body_covering|movement_seen|observation_place|primary_color|cetacean_dorsal_fin|cetacean_color_pattern. Needs source-backed schema design before any trait values are added.
grampus_griseus,ziphius_cavirostris,"coarse cetacean traits do not capture simple head profile, scarring, or rorqual body-profile distinctions",cetacean_head_profile,limited,4,true,Similarity 1; matching traits: body_form|body_covering|movement_seen|observation_place|primary_color|cetacean_dorsal_fin|cetacean_beak|cetacean_color_pattern. Needs source-backed schema design before any trait values are added.
megaptera_novaeangliae,peponocephala_electra,"coarse cetacean traits do not capture simple head profile, scarring, or rorqual body-profile distinctions",cetacean_head_profile,limited,4,true,Similarity 1; matching traits: body_form|body_covering|movement_seen|observation_place|primary_color|cetacean_beak|cetacean_color_pattern. Needs source-backed schema design before any trait values are added.
stenella_longirostris,steno_bredanensis,"coarse cetacean traits do not capture simple head profile, scarring, or rorqual body-profile distinctions",cetacean_head_profile,limited,4,true,Similarity 1; matching traits: body_form|body_covering|movement_seen|observation_place|primary_color|cetacean_beak|cetacean_color_pattern. Needs source-backed schema design before any trait values are added.
hipposideros_armiger,hipposideros_diadema,current bat traits are too coarse for close false-vampire or leaf-nosed bat separation,bat_ear_or_noseleaf_layout,limited,3,false,Similarity 1; matching traits: body_form|body_covering|movement_seen|observation_place|primary_color|bat_nose_shape. Needs source-backed schema design before any trait values are added.
megaderma_spasma,lyroderma_lyra,current bat traits are too coarse for close false-vampire or leaf-nosed bat separation,bat_ear_or_noseleaf_layout,limited,3,false,Similarity 1; matching traits: body_size_impression|body_form|body_covering|movement_seen|primary_color|ear_size_impression|bat_nose_shape|bat_tail_visibility. Needs source-backed schema design before any trait values are added.
chiropodomys_gliroides,chiromyscus_chiropus,remaining separation is not represented by current coarse observable traits,group_specific_visible_marking,limited,2,false,Similarity 1; matching traits: body_form|body_covering|movement_seen|observation_place|tail_impression|leg_foot_appearance|rodent_tail_type. Needs source-backed schema design before any trait values are added.
mus_caroli,rattus_andamanensis,remaining separation is not represented by current coarse observable traits,group_specific_visible_marking,limited,2,false,Similarity 0.917; matching traits: body_form|body_covering|movement_seen|observation_place|primary_color|tail_impression|ear_size_impression|ear_shape_simple|snout_shape_simple|leg_foot_appearance|rodent_tail_type. Needs source-backed schema design before any trait values are added.
mus_caroli,rattus_norvegicus,remaining separation is not represented by current coarse observable traits,group_specific_visible_marking,limited,2,false,Similarity 0.917; matching traits: body_form|body_covering|movement_seen|observation_place|primary_color|tail_impression|ear_size_impression|ear_shape_simple|snout_shape_simple|leg_foot_appearance|rodent_tail_type. Needs source-backed schema design before any trait values are added.
mus_cervicolor,rattus_andamanensis,remaining separation is not represented by current coarse observable traits,group_specific_visible_marking,limited,2,false,Similarity 0.917; matching traits: body_form|body_covering|movement_seen|observation_place|primary_color|body_pattern|ear_size_impression|ear_shape_simple|snout_shape_simple|leg_foot_appearance|rodent_tail_type. Needs source-backed schema design before any trait values are added.
mus_cervicolor,rattus_norvegicus,remaining separation is not represented by current coarse observable traits,group_specific_visible_marking,limited,2,false,Similarity 0.917; matching traits: body_form|body_covering|movement_seen|observation_place|primary_color|body_pattern|ear_size_impression|ear_shape_simple|snout_shape_simple|leg_foot_appearance|rodent_tail_type. Needs source-backed schema design before any trait values are added.
rattus_andamanensis,rattus_norvegicus,remaining separation is not represented by current coarse observable traits,group_specific_visible_marking,limited,2,false,Exact current profile collision. Similarity 1; matching traits: body_form|body_covering|movement_seen|observation_place|time_seen|primary_color|body_pattern|tail_impression|ear_size_impression|ear_shape_simple|snout_shape_simple|leg_foot_appearance|rodent_tail_type. Needs source-backed schema design before any trait values are added.
trachypithecus_crepusculus,trachypithecus_shortridgei,remaining separation is not represented by current coarse observable traits,group_specific_visible_marking,limited,2,false,Similarity 1; matching traits: body_form|body_covering|primary_color|body_pattern|tail_impression. Needs source-backed schema design before any trait values are added.
