species_a,scientific_name_a,species_b,scientific_name_b,shared_known_traits,matches,conflicts,similarity,matching_traits,conflicting_traits
petaurista_petaurista,Petaurista petaurista,hylopetes_alboniger,Hylopetes alboniger,6,5,1,0.833,body_form|body_covering|movement_seen|observation_place|gliding_membrane_visible,primary_color
petaurista_elegans,Petaurista elegans,hylopetes_alboniger,Hylopetes alboniger,6,5,1,0.833,body_form|body_covering|movement_seen|observation_place|gliding_membrane_visible,primary_color
hylopetes_alboniger,Hylopetes alboniger,petaurista_philippensis,Petaurista philippensis,6,5,1,0.833,body_form|body_covering|movement_seen|observation_place|gliding_membrane_visible,primary_color
callosciurus_erythraeus,Callosciurus erythraeus,ailurus_fulgens,Ailurus fulgens,6,5,1,0.833,body_covering|movement_seen|observation_place|tail_impression|tail_shape,primary_color
menetes_berdmorei,Menetes berdmorei,pseudois_nayaur,Pseudois nayaur,6,5,1,0.833,body_covering|movement_seen|observation_place|primary_color|body_pattern,body_form
neotetracus_sinensis,Neotetracus sinensis,suncus_murinus,Suncus murinus,6,5,1,0.833,body_size_impression|body_form|body_covering|observation_place|time_seen,primary_color
echinosorex_gymnura,Echinosorex gymnura,suncus_murinus,Suncus murinus,6,5,1,0.833,body_form|body_covering|observation_place|primary_color|snout_shape_simple,body_size_impression
megaerops_niphanae,Megaerops niphanae,lyroderma_lyra,Lyroderma lyra,6,5,1,0.833,body_size_impression|body_form|body_covering|movement_seen|primary_color,bat_tail_visibility
cynopterus_brachyotis,Cynopterus brachyotis,hipposideros_armiger,Hipposideros armiger,6,5,1,0.833,body_size_impression|body_form|body_covering|movement_seen|primary_color,bat_nose_shape
cynopterus_sphinx,Cynopterus sphinx,megaderma_spasma,Megaderma spasma,6,5,1,0.833,body_size_impression|body_form|body_covering|movement_seen|body_pattern,primary_color
sphaerias_blanfordi,Sphaerias blanfordi,lyroderma_lyra,Lyroderma lyra,6,5,1,0.833,body_size_impression|body_form|body_covering|movement_seen|bat_tail_visibility,primary_color
hipposideros_armiger,Hipposideros armiger,megaderma_spasma,Megaderma spasma,6,5,1,0.833,body_size_impression|body_form|body_covering|movement_seen|bat_nose_shape,primary_color
hipposideros_armiger,Hipposideros armiger,lyroderma_lyra,Lyroderma lyra,6,5,1,0.833,body_size_impression|body_form|body_covering|movement_seen|bat_nose_shape,primary_color
pardofelis_marmorata,Pardofelis marmorata,prionailurus_bengalensis,Prionailurus bengalensis,6,5,1,0.833,body_form|body_covering|primary_color|body_pattern|ear_shape_simple,carnivore_tail_marking
prionodon_linsang,Prionodon linsang,prionodon_pardicolor,Prionodon pardicolor,6,5,1,0.833,body_covering|observation_place|primary_color|tail_impression|carnivore_tail_marking,body_pattern
prionailurus_viverrinus,Prionailurus viverrinus,lutrogale_perspicillata,Lutrogale perspicillata,6,5,1,0.833,body_covering|movement_seen|observation_place|primary_color|leg_foot_appearance,body_form
viverra_megaspila,Viverra megaspila,viverricula_indica,Viverricula indica,6,5,1,0.833,body_form|body_covering|primary_color|tail_impression|carnivore_tail_marking,body_pattern
viverra_megaspila,Viverra megaspila,hemigalus_derbyanus,Hemigalus derbyanus,6,5,1,0.833,body_form|body_covering|primary_color|tail_impression|snout_shape_simple,body_pattern
canis_lupus,Canis lupus,canis_aureus,Canis aureus,6,5,1,0.833,body_form|body_covering|movement_seen|observation_place|leg_foot_appearance,primary_color
canis_aureus,Canis aureus,cuon_alpinus,Cuon alpinus,6,5,1,0.833,body_form|body_covering|movement_seen|observation_place|body_pattern,primary_color
melogale_moschata,Melogale moschata,melogale_personata,Melogale personata,6,5,1,0.833,body_form|body_covering|body_pattern|tail_shape|carnivore_face_marking,primary_color
aonyx_cinereus,Aonyx cinereus,lutrogale_perspicillata,Lutrogale perspicillata,6,5,1,0.833,body_form|body_covering|movement_seen|observation_place|leg_foot_appearance,primary_color
ursus_thibetanus,Ursus thibetanus,helarctos_malayanus,Helarctos malayanus,6,5,1,0.833,body_form|body_covering|primary_color|body_pattern|tail_impression,snout_shape_simple
elaphodus_cephalophus,Elaphodus cephalophus,bubalus_arnee,Bubalus arnee,6,5,1,0.833,body_form|body_covering|observation_place|primary_color|leg_foot_appearance,body_size_impression
bos_gaurus,Bos gaurus,bos_javanicus,Bos javanicus,6,5,1,0.833,body_size_impression|body_form|body_covering|body_pattern|horns_or_antlers,primary_color
bos_javanicus,Bos javanicus,bubalus_arnee,Bubalus arnee,6,5,1,0.833,body_size_impression|body_form|body_covering|horns_or_antlers|horn_shape_simple,primary_color
megaptera_novaeangliae,Megaptera novaeangliae,orcinus_orca,Orcinus orca,11,9,2,0.818,body_size_impression|body_form|body_covering|movement_seen|observation_place|primary_color|body_pattern|tail_shape|cetacean_beak,cetacean_dorsal_fin|cetacean_color_pattern
megaptera_novaeangliae,Megaptera novaeangliae,physeter_macrocephalus,Physeter macrocephalus,10,8,2,0.8,body_size_impression|body_form|body_covering|movement_seen|observation_place|tail_shape|cetacean_dorsal_fin|cetacean_beak,primary_color|cetacean_color_pattern
macaca_assamensis,Macaca assamensis,macaca_mulatta,Macaca mulatta,5,4,1,0.8,body_form|body_covering|primary_color|tail_impression,primate_face_marking
macaca_arctoides,Macaca arctoides,bubalus_arnee,Bubalus arnee,5,4,1,0.8,body_covering|movement_seen|observation_place|primary_color,body_form
tupaia_belangeri,Tupaia belangeri,callosciurus_finlaysonii,Callosciurus finlaysonii,5,4,1,0.8,body_form|body_covering|tail_impression|tail_shape,primary_color
tupaia_belangeri,Tupaia belangeri,callosciurus_pygerythrus,Callosciurus pygerythrus,5,4,1,0.8,body_form|body_covering|tail_impression|tail_shape,primary_color
macaca_fascicularis,Macaca fascicularis,trachypithecus_pileatus,Trachypithecus pileatus,5,4,1,0.8,body_form|body_covering|primary_color|tail_impression,primate_face_marking
trachypithecus_phayrei,Trachypithecus phayrei,ailurus_fulgens,Ailurus fulgens,5,4,1,0.8,body_covering|movement_seen|observation_place|tail_impression,primary_color
trachypithecus_pileatus,Trachypithecus pileatus,trachypithecus_obscurus,Trachypithecus obscurus,5,4,1,0.8,body_form|body_covering|primary_color|tail_impression,primate_face_marking
trachypithecus_obscurus,Trachypithecus obscurus,neofelis_nebulosa,Neofelis nebulosa,5,4,1,0.8,body_covering|movement_seen|primary_color|tail_impression,body_form
trachypithecus_obscurus,Trachypithecus obscurus,arctogalidia_trivirgata,Arctogalidia trivirgata,5,4,1,0.8,body_covering|observation_place|primary_color|tail_impression,body_form
ochotona_forresti,Ochotona forresti,lepus_comus,Lepus comus,5,4,1,0.8,body_size_impression|body_form|body_covering|observation_place,primary_color
ratufa_bicolor,Ratufa bicolor,petaurista_alborufus,Petaurista alborufus,5,4,1,0.8,body_form|body_covering|observation_place|body_pattern,primary_color
ratufa_bicolor,Ratufa bicolor,helarctos_malayanus,Helarctos malayanus,5,4,1,0.8,body_covering|observation_place|primary_color|body_pattern,body_form
lepus_peguensis,Lepus peguensis,rucervus_eldii,Rucervus eldii,5,4,1,0.8,body_covering|primary_color|tail_impression|ear_size_impression,body_form
petaurista_alborufus,Petaurista alborufus,ailurus_fulgens,Ailurus fulgens,5,4,1,0.8,body_covering|observation_place|primary_color|tail_impression,movement_seen
callosciurus_erythraeus,Callosciurus erythraeus,callosciurus_pygerythrus,Callosciurus pygerythrus,5,4,1,0.8,body_form|body_covering|tail_impression|tail_shape,primary_color
callosciurus_erythraeus,Callosciurus erythraeus,martes_flavigula,Martes flavigula,5,4,1,0.8,body_covering|primary_color|tail_impression|tail_shape,body_form
callosciurus_finlaysonii,Callosciurus finlaysonii,callosciurus_pygerythrus,Callosciurus pygerythrus,5,4,1,0.8,body_form|body_covering|tail_impression|tail_shape,primary_color
callosciurus_finlaysonii,Callosciurus finlaysonii,canis_lupus,Canis lupus,5,4,1,0.8,body_covering|primary_color|tail_impression|tail_shape,body_form
callosciurus_finlaysonii,Callosciurus finlaysonii,martes_flavigula,Martes flavigula,5,4,1,0.8,body_covering|primary_color|tail_impression|tail_shape,body_form
dremomys_rufigenis,Dremomys rufigenis,dremomys_pernyi,Dremomys pernyi,5,4,1,0.8,body_form|body_covering|primary_color|snout_shape_simple,tail_shape
dremomys_rufigenis,Dremomys rufigenis,anourosorex_squamipes,Anourosorex squamipes,5,4,1,0.8,body_covering|primary_color|tail_impression|snout_shape_simple,body_form
dremomys_pernyi,Dremomys pernyi,pseudois_nayaur,Pseudois nayaur,5,4,1,0.8,body_covering|movement_seen|observation_place|primary_color,body_form
tamiops_mcclellandii,Tamiops mcclellandii,neotetracus_sinensis,Neotetracus sinensis,5,4,1,0.8,body_size_impression|body_covering|primary_color|tail_impression,body_form
neotetracus_sinensis,Neotetracus sinensis,suncus_etruscus,Suncus etruscus,5,4,1,0.8,body_size_impression|body_form|body_covering|observation_place,primary_color
suncus_murinus,Suncus murinus,suncus_etruscus,Suncus etruscus,5,4,1,0.8,body_size_impression|body_form|body_covering|observation_place,primary_color
suncus_murinus,Suncus murinus,catopuma_temminckii,Catopuma temminckii,5,4,1,0.8,body_covering|movement_seen|observation_place|primary_color,body_form
suncus_murinus,Suncus murinus,melogale_personata,Melogale personata,5,4,1,0.8,body_covering|observation_place|time_seen|primary_color,body_form
chimarrogale_himalayica,Chimarrogale himalayica,suncus_etruscus,Suncus etruscus,5,4,1,0.8,body_size_impression|body_form|body_covering|primary_color,observation_place
suncus_etruscus,Suncus etruscus,nectogale_elegans,Nectogale elegans,5,4,1,0.8,body_size_impression|body_form|body_covering|primary_color,observation_place
megaerops_niphanae,Megaerops niphanae,hipposideros_armiger,Hipposideros armiger,5,4,1,0.8,body_size_impression|body_form|body_covering|movement_seen,primary_color
cynopterus_sphinx,Cynopterus sphinx,hipposideros_armiger,Hipposideros armiger,5,4,1,0.8,body_size_impression|body_form|body_covering|movement_seen,primary_color
cynopterus_sphinx,Cynopterus sphinx,lyroderma_lyra,Lyroderma lyra,5,4,1,0.8,body_size_impression|body_form|body_covering|movement_seen,primary_color
sphaerias_blanfordi,Sphaerias blanfordi,hipposideros_armiger,Hipposideros armiger,5,4,1,0.8,body_size_impression|body_form|body_covering|movement_seen,primary_color
macroglossus_sobrinus,Macroglossus sobrinus,hipposideros_armiger,Hipposideros armiger,5,4,1,0.8,body_size_impression|body_form|body_covering|movement_seen,primary_color
manis_javanica,Manis javanica,manis_pentadactyla,Manis pentadactyla,5,4,1,0.8,body_form|body_covering|primary_color|leg_foot_appearance,movement_seen
catopuma_temminckii,Catopuma temminckii,felis_chaus,Felis chaus,5,4,1,0.8,body_form|body_covering|primary_color|body_pattern,tail_impression
prionodon_linsang,Prionodon linsang,ailurus_fulgens,Ailurus fulgens,5,4,1,0.8,body_covering|observation_place|tail_impression|carnivore_tail_marking,primary_color
panthera_pardus,Panthera pardus,viverra_megaspila,Viverra megaspila,5,4,1,0.8,body_covering|primary_color|body_pattern|carnivore_tail_marking,body_form
arctictis_binturong,Arctictis binturong,arctogalidia_trivirgata,Arctogalidia trivirgata,5,4,1,0.8,body_form|body_covering|observation_place|tail_impression,primary_color
viverra_megaspila,Viverra megaspila,martes_flavigula,Martes flavigula,5,4,1,0.8,body_form|body_covering|primary_color|tail_impression,body_pattern
viverricula_indica,Viverricula indica,hemigalus_derbyanus,Hemigalus derbyanus,5,4,1,0.8,body_form|body_covering|primary_color|tail_impression,body_pattern
hemigalus_derbyanus,Hemigalus derbyanus,melogale_personata,Melogale personata,5,4,1,0.8,body_form|body_covering|primary_color|carnivore_face_marking,body_pattern
hemigalus_derbyanus,Hemigalus derbyanus,martes_flavigula,Martes flavigula,5,4,1,0.8,body_form|body_covering|primary_color|tail_impression,body_pattern
canis_lupus,Canis lupus,melogale_personata,Melogale personata,5,4,1,0.8,body_covering|observation_place|primary_color|tail_shape,body_form
canis_lupus,Canis lupus,martes_flavigula,Martes flavigula,5,4,1,0.8,body_covering|primary_color|tail_impression|tail_shape,body_form
melogale_moschata,Melogale moschata,mustela_strigidorsa,Mustela strigidorsa,5,4,1,0.8,body_form|body_covering|primary_color|body_pattern,tail_impression
melogale_personata,Melogale personata,martes_flavigula,Martes flavigula,5,4,1,0.8,body_form|body_covering|primary_color|tail_shape,body_pattern
melogale_personata,Melogale personata,budorcas_taxicolor,Budorcas taxicolor,5,4,1,0.8,body_covering|observation_place|primary_color|body_pattern,body_form
rhinoceros_unicornis,Rhinoceros unicornis,rhinoceros_sondaicus,Rhinoceros sondaicus,5,4,1,0.8,body_size_impression|body_form|primary_color|horns_or_antlers,snout_shape_simple
axis_porcinus,Axis porcinus,elaphodus_cephalophus,Elaphodus cephalophus,5,4,1,0.8,body_size_impression|body_form|body_covering|primary_color,ear_size_impression
rusa_unicolor,Rusa unicolor,elaphodus_cephalophus,Elaphodus cephalophus,5,4,1,0.8,body_form|body_covering|primary_color|body_pattern,body_size_impression
