species_key,scientific_name,populated_traits,remaining_compatible_candidates,simulated_questions_used,readiness,questions_used,remaining_candidates
axis_porcinus,Axis porcinus,7,3,4,needs_one_or_two_discriminators,body_form|primary_color|body_size_impression|ear_size_impression,axis_porcinus|muntiacus_gongshanensis|capricornis_milneedwardsi
callosciurus_finlaysonii,Callosciurus finlaysonii,8,3,2,needs_one_or_two_discriminators,body_form|primary_color,callosciurus_erythraeus|callosciurus_finlaysonii|callosciurus_caniceps
callosciurus_pygerythrus,Callosciurus pygerythrus,8,3,3,needs_one_or_two_discriminators,body_form|primary_color|rodent_tail_type,tamiops_swinhoei|callosciurus_quinquestriatus|callosciurus_pygerythrus
callosciurus_erythraeus,Callosciurus erythraeus,9,3,2,needs_one_or_two_discriminators,body_form|primary_color,callosciurus_erythraeus|callosciurus_finlaysonii|callosciurus_caniceps
callosciurus_caniceps,Callosciurus caniceps,9,3,2,needs_one_or_two_discriminators,body_form|primary_color,callosciurus_erythraeus|callosciurus_finlaysonii|callosciurus_caniceps
callosciurus_quinquestriatus,Callosciurus quinquestriatus,9,3,3,needs_one_or_two_discriminators,body_form|primary_color|rodent_tail_type,tamiops_swinhoei|callosciurus_quinquestriatus|callosciurus_pygerythrus
tamiops_swinhoei,Tamiops swinhoei,10,3,3,needs_one_or_two_discriminators,body_form|primary_color|rodent_tail_type,tamiops_swinhoei|callosciurus_quinquestriatus|callosciurus_pygerythrus
trachypithecus_shortridgei,Trachypithecus shortridgei,5,2,3,needs_one_or_two_discriminators,body_form|primary_color|tail_impression,trachypithecus_crepusculus|trachypithecus_shortridgei
trachypithecus_crepusculus,Trachypithecus crepusculus,6,2,3,needs_one_or_two_discriminators,body_form|primary_color|tail_impression,trachypithecus_crepusculus|trachypithecus_shortridgei
rusa_unicolor,Rusa unicolor,6,2,4,needs_one_or_two_discriminators,body_form|primary_color|body_size_impression|body_pattern,rusa_unicolor|capricornis_milneedwardsi
hylopetes_phayrei,Hylopetes phayrei,7,2,3,needs_one_or_two_discriminators,body_form|primary_color|body_pattern,hylopetes_phayrei|eupetaurus_nivamons
hipposideros_armiger,Hipposideros armiger,7,2,4,needs_one_or_two_discriminators,body_form|primary_color|bat_nose_shape|body_size_impression,hipposideros_armiger|hipposideros_diadema
tragulus_kanchil,Tragulus kanchil,7,2,4,needs_one_or_two_discriminators,primary_color|body_form|body_pattern|observation_place,tragulus_kanchil|tragulus_napu
capricornis_rubidus,Capricornis rubidus,7,2,5,needs_one_or_two_discriminators,primary_color|body_form|body_pattern|horns_or_antlers|tail_impression,capricornis_rubidus|naemorhedus_cranbrooki
peponocephala_electra,Peponocephala electra,7,2,3,needs_one_or_two_discriminators,primary_color|body_form|cetacean_color_pattern,megaptera_novaeangliae|peponocephala_electra
tupaia_belangeri,Tupaia belangeri,8,2,4,needs_one_or_two_discriminators,body_form|primary_color|movement_seen|tail_impression,tupaia_belangeri|dremomys_lokriah
petaurista_petaurista,Petaurista petaurista,8,2,3,needs_one_or_two_discriminators,body_form|primary_color|movement_seen,petaurista_magnificus|petaurista_petaurista
menetes_berdmorei,Menetes berdmorei,8,2,3,needs_one_or_two_discriminators,body_form|movement_seen|observation_place,dremomys_pernyi|menetes_berdmorei
chiropodomys_gliroides,Chiropodomys gliroides,8,2,4,needs_one_or_two_discriminators,body_form|observation_place|tail_impression|tail_shape,chiropodomys_gliroides|chiromyscus_chiropus
lyroderma_lyra,Lyroderma lyra,8,2,3,needs_one_or_two_discriminators,body_form|primary_color|bat_tail_visibility,megaderma_spasma|lyroderma_lyra
naemorhedus_cranbrooki,Naemorhedus cranbrooki,8,2,5,needs_one_or_two_discriminators,primary_color|body_form|body_pattern|horns_or_antlers|observation_place,capricornis_rubidus|naemorhedus_cranbrooki
grampus_griseus,Grampus griseus,8,2,4,needs_one_or_two_discriminators,body_form|cetacean_color_pattern|primary_color|cetacean_dorsal_fin,grampus_griseus|ziphius_cavirostris
steno_bredanensis,Steno bredanensis,8,2,4,needs_one_or_two_discriminators,body_form|cetacean_dorsal_fin|primary_color|cetacean_color_pattern,stenella_longirostris|steno_bredanensis
galeopterus_variegatus,Galeopterus variegatus,9,2,3,needs_one_or_two_discriminators,body_form|primary_color|body_pattern,galeopterus_variegatus|petaurista_caniceps
petaurista_elegans,Petaurista elegans,9,2,3,needs_one_or_two_discriminators,body_form|primary_color|tail_shape,petaurista_elegans|petaurista_philippensis
petaurista_philippensis,Petaurista philippensis,9,2,3,needs_one_or_two_discriminators,body_form|primary_color|tail_shape,petaurista_elegans|petaurista_philippensis
dremomys_lokriah,Dremomys lokriah,9,2,4,needs_one_or_two_discriminators,body_form|primary_color|movement_seen|tail_impression,tupaia_belangeri|dremomys_lokriah
dremomys_pernyi,Dremomys pernyi,9,2,3,needs_one_or_two_discriminators,body_form|movement_seen|observation_place,dremomys_pernyi|menetes_berdmorei
megaderma_spasma,Megaderma spasma,9,2,3,needs_one_or_two_discriminators,body_form|primary_color|bat_tail_visibility,megaderma_spasma|lyroderma_lyra
ziphius_cavirostris,Ziphius cavirostris,9,2,4,needs_one_or_two_discriminators,body_form|cetacean_color_pattern|primary_color|cetacean_dorsal_fin,grampus_griseus|ziphius_cavirostris
petaurista_magnificus,Petaurista magnificus,10,2,3,needs_one_or_two_discriminators,body_form|primary_color|movement_seen,petaurista_magnificus|petaurista_petaurista
petaurista_caniceps,Petaurista caniceps,10,2,3,needs_one_or_two_discriminators,body_form|primary_color|body_pattern,galeopterus_variegatus|petaurista_caniceps
tragulus_napu,Tragulus napu,10,2,4,needs_one_or_two_discriminators,primary_color|body_form|horns_or_antlers|snout_shape_simple,tragulus_kanchil|tragulus_napu
chiromyscus_chiropus,Chiromyscus chiropus,11,2,5,needs_one_or_two_discriminators,primary_color|body_form|movement_seen|body_pattern|tail_impression,chiropodomys_gliroides|chiromyscus_chiropus
hipposideros_diadema,Hipposideros diadema,11,2,3,needs_one_or_two_discriminators,body_form|primary_color|bat_tail_visibility,hipposideros_armiger|hipposideros_diadema
megaptera_novaeangliae,Megaptera novaeangliae,11,2,3,needs_one_or_two_discriminators,primary_color|body_form|cetacean_dorsal_fin,megaptera_novaeangliae|peponocephala_electra
eupetaurus_nivamons,Eupetaurus nivamons,12,2,3,needs_one_or_two_discriminators,body_form|primary_color|body_pattern,hylopetes_phayrei|eupetaurus_nivamons
rattus_andamanensis,Rattus andamanensis,13,2,5,needs_one_or_two_discriminators,body_form|tail_impression|primary_color|body_pattern|observation_place,rattus_andamanensis|rattus_norvegicus
rattus_norvegicus,Rattus norvegicus,13,2,5,needs_one_or_two_discriminators,body_form|tail_impression|primary_color|body_pattern|observation_place,rattus_andamanensis|rattus_norvegicus
macaca_leonina,Macaca leonina,4,1,3,species_ready,primary_color|body_form|tail_impression,macaca_leonina
sus_scrofa,Sus scrofa,4,1,2,species_ready,body_form|primary_color,sus_scrofa
macaca_assamensis,Macaca assamensis,5,1,3,species_ready,body_form|primary_color|primate_face_marking,macaca_assamensis
rhinopithecus_strykeri,Rhinopithecus strykeri,5,1,3,species_ready,primary_color|body_form|primate_face_marking,rhinopithecus_strykeri
trachypithecus_barbei,Trachypithecus barbei,5,1,4,species_ready,primary_color|body_form|body_pattern|primate_face_marking,trachypithecus_barbei
trachypithecus_popa,Trachypithecus popa,5,1,3,species_ready,body_form|primary_color|tail_impression,trachypithecus_popa
trachypithecus_pileatus,Trachypithecus pileatus,5,1,3,species_ready,body_form|primate_face_marking|primary_color,trachypithecus_pileatus
ochotona_forresti,Ochotona forresti,5,1,2,species_ready,body_form|primary_color,ochotona_forresti
ratufa_bicolor,Ratufa bicolor,5,1,2,species_ready,primary_color|body_form,ratufa_bicolor
lepus_comus,Lepus comus,5,1,2,species_ready,body_form|primary_color,lepus_comus
manis_javanica,Manis javanica,5,1,3,species_ready,body_form|body_covering|movement_seen,manis_javanica
arctonyx_albogularis,Arctonyx albogularis,5,1,4,species_ready,body_form|tail_impression|primary_color|body_pattern,arctonyx_albogularis
rhinoceros_unicornis,Rhinoceros unicornis,5,1,3,species_ready,body_form|primary_color|snout_shape_simple,rhinoceros_unicornis
tapirus_indicus,Tapirus indicus,5,1,2,species_ready,body_form|primary_color,tapirus_indicus
elephas_maximus,Elephas maximus,6,1,2,species_ready,body_form|body_covering,elephas_maximus
trachypithecus_phayrei,Trachypithecus phayrei,6,1,3,species_ready,body_form|primary_color|tail_impression,trachypithecus_phayrei
manis_pentadactyla,Manis pentadactyla,6,1,3,species_ready,body_form|body_covering|movement_seen,manis_pentadactyla
panthera_tigris,Panthera tigris,6,1,3,species_ready,body_form|body_pattern|body_size_impression,panthera_tigris
prionodon_linsang,Prionodon linsang,6,1,3,species_ready,primary_color|body_pattern|tail_impression,prionodon_linsang
urva_javanica,Urva javanica,6,1,3,species_ready,primary_color|body_form|observation_place,urva_javanica
ursus_thibetanus,Ursus thibetanus,6,1,3,species_ready,body_form|snout_shape_simple|body_pattern,ursus_thibetanus
martes_flavigula,Martes flavigula,6,1,4,species_ready,body_form|primary_color|body_pattern|tail_impression,martes_flavigula
martes_foina,Martes foina,6,1,3,species_ready,body_form|primary_color|body_pattern,martes_foina
arctonyx_collaris,Arctonyx collaris,6,1,3,species_ready,body_form|primary_color|tail_impression,arctonyx_collaris
mustela_strigidorsa,Mustela strigidorsa,6,1,5,species_ready,body_form|primary_color|observation_place|body_pattern|tail_impression,mustela_strigidorsa
mustela_sibirica,Mustela sibirica,6,1,3,species_ready,primary_color|body_form|body_pattern,mustela_sibirica
muntiacus_vaginalis,Muntiacus vaginalis,6,1,4,species_ready,primary_color|body_form|body_pattern|snout_shape_simple,muntiacus_vaginalis
muntiacus_putaoensis,Muntiacus putaoensis,6,1,3,species_ready,primary_color|body_form|observation_place,muntiacus_putaoensis
macaca_arctoides,Macaca arctoides,7,1,3,species_ready,body_form|primary_color|tail_impression,macaca_arctoides
dugong_dugon,Dugong dugon,7,1,2,species_ready,body_form|body_covering,dugong_dugon
hylopetes_alboniger,Hylopetes alboniger,7,1,2,species_ready,body_form|primary_color,hylopetes_alboniger
neotetracus_sinensis,Neotetracus sinensis,7,1,3,species_ready,body_form|primary_color|tail_impression,neotetracus_sinensis
panthera_pardus,Panthera pardus,7,1,3,species_ready,body_form|primary_color|body_pattern,panthera_pardus
viverra_megaspila,Viverra megaspila,7,1,3,species_ready,body_form|body_pattern|primary_color,viverra_megaspila
viverricula_indica,Viverricula indica,7,1,3,species_ready,body_form|primary_color|body_pattern,viverricula_indica
viverra_zibetha,Viverra zibetha,7,1,4,species_ready,body_form|primary_color|body_pattern|tail_impression,viverra_zibetha
canis_aureus,Canis aureus,7,1,3,species_ready,body_form|primary_color|observation_place,canis_aureus
moschus_fuscus,Moschus fuscus,7,1,3,species_ready,body_form|primary_color|body_pattern,moschus_fuscus
tragulus_williamsoni,Tragulus williamsoni,7,1,3,species_ready,body_form|primary_color|body_pattern,tragulus_williamsoni
bos_javanicus,Bos javanicus,7,1,3,species_ready,body_form|primary_color|body_pattern,bos_javanicus
naemorhedus_evansi,Naemorhedus evansi,7,1,3,species_ready,body_form|primary_color|body_pattern,naemorhedus_evansi
macaca_mulatta,Macaca mulatta,8,1,3,species_ready,body_form|primary_color|primate_face_marking,macaca_mulatta
presbytis_femoralis,Presbytis femoralis,8,1,4,species_ready,primary_color|body_form|body_pattern|primate_face_marking,presbytis_femoralis
trachypithecus_obscurus,Trachypithecus obscurus,8,1,4,species_ready,body_form|primary_color|primate_face_marking|tail_impression,trachypithecus_obscurus
hylobates_lar,Hylobates lar,8,1,3,species_ready,body_form|tail_impression|primate_face_marking,hylobates_lar
ochotona_thibetana,Ochotona thibetana,8,1,3,species_ready,body_form|primary_color|observation_place,ochotona_thibetana
petaurista_alborufus,Petaurista alborufus,8,1,3,species_ready,body_form|primary_color|movement_seen,petaurista_alborufus
dremomys_rufigenis,Dremomys rufigenis,8,1,4,species_ready,body_form|tail_impression|movement_seen|primary_color,dremomys_rufigenis
rhizomys_sinensis,Rhizomys sinensis,8,1,3,species_ready,body_form|tail_impression|ear_size_impression,rhizomys_sinensis
echinosorex_gymnura,Echinosorex gymnura,8,1,3,species_ready,body_form|primary_color|body_size_impression,echinosorex_gymnura
atherurus_macrourus,Atherurus macrourus,8,1,2,species_ready,body_covering|body_form,atherurus_macrourus
hystrix_brachyura,Hystrix brachyura,8,1,2,species_ready,body_form|body_covering,hystrix_brachyura
suncus_murinus,Suncus murinus,8,1,3,species_ready,body_form|primary_color|body_size_impression,suncus_murinus
chimarrogale_himalayica,Chimarrogale himalayica,8,1,4,species_ready,body_form|observation_place|ear_size_impression|primary_color,chimarrogale_himalayica
suncus_etruscus,Suncus etruscus,8,1,3,species_ready,body_form|primary_color|ear_size_impression,suncus_etruscus
megaerops_niphanae,Megaerops niphanae,8,1,3,species_ready,body_form|primary_color|bat_tail_visibility,megaerops_niphanae
cynopterus_sphinx,Cynopterus sphinx,8,1,5,species_ready,body_form|primary_color|body_pattern|movement_seen|bat_tail_visibility,cynopterus_sphinx
catopuma_temminckii,Catopuma temminckii,8,1,4,species_ready,body_form|body_pattern|movement_seen|tail_impression,catopuma_temminckii
felis_chaus,Felis chaus,8,1,3,species_ready,body_form|body_pattern|tail_impression,felis_chaus
prionailurus_bengalensis,Prionailurus bengalensis,8,1,5,species_ready,body_form|primary_color|snout_shape_simple|body_pattern|carnivore_tail_marking,prionailurus_bengalensis
arctogalidia_trivirgata,Arctogalidia trivirgata,8,1,3,species_ready,body_form|body_pattern|primary_color,arctogalidia_trivirgata
hemigalus_derbyanus,Hemigalus derbyanus,8,1,3,species_ready,body_form|body_pattern|primary_color,hemigalus_derbyanus
melogale_personata,Melogale personata,8,1,3,species_ready,body_form|primary_color|body_pattern,melogale_personata
lutra_sumatrana,Lutra sumatrana,8,1,4,species_ready,body_form|primary_color|observation_place|tail_shape,lutra_sumatrana
mustela_kathiah,Mustela kathiah,8,1,4,species_ready,body_form|primary_color|observation_place|body_pattern,mustela_kathiah
dicerorhinus_sumatrensis,Dicerorhinus sumatrensis,8,1,3,species_ready,body_form|primary_color|movement_seen,dicerorhinus_sumatrensis
rucervus_eldii,Rucervus eldii,8,1,4,species_ready,body_form|primary_color|body_pattern|body_size_impression,rucervus_eldii
naemorhedus_griseus,Naemorhedus griseus,8,1,3,species_ready,body_form|primary_color|body_pattern,naemorhedus_griseus
globicephala_macrorhynchus,Globicephala macrorhynchus,8,1,3,species_ready,primary_color|body_form|cetacean_color_pattern,globicephala_macrorhynchus
feresa_attenuata,Feresa attenuata,8,1,4,species_ready,primary_color|body_form|cetacean_color_pattern|cetacean_dorsal_fin,feresa_attenuata
pseudorca_crassidens,Pseudorca crassidens,8,1,4,species_ready,primary_color|body_form|cetacean_dorsal_fin|cetacean_color_pattern,pseudorca_crassidens
sousa_chinensis,Sousa chinensis,8,1,2,species_ready,primary_color|body_form,sousa_chinensis
neophocaena_phocaenoides,Neophocaena phocaenoides,8,1,4,species_ready,body_form|cetacean_dorsal_fin|primary_color|cetacean_beak,neophocaena_phocaenoides
kogia_sima,Kogia sima,8,1,5,species_ready,body_form|cetacean_dorsal_fin|cetacean_color_pattern|observation_place|cetacean_beak,kogia_sima
kogia_breviceps,Kogia breviceps,8,1,4,species_ready,body_form|cetacean_dorsal_fin|primary_color|cetacean_beak,kogia_breviceps
stenella_attenuata,Stenella attenuata,8,1,2,species_ready,body_form|primary_color,stenella_attenuata
macaca_fascicularis,Macaca fascicularis,9,1,3,species_ready,body_form|primate_face_marking|primary_color,macaca_fascicularis
hoolock_leuconedys,Hoolock leuconedys,9,1,4,species_ready,body_form|tail_impression|primate_face_marking|primate_brow_pattern,hoolock_leuconedys
hoolock_hoolock,Hoolock hoolock,9,1,4,species_ready,body_form|tail_impression|primate_face_marking|primate_brow_pattern,hoolock_hoolock
hoolock_tianxing,Hoolock tianxing,9,1,4,species_ready,body_form|tail_impression|primate_face_marking|primate_brow_pattern,hoolock_tianxing
hylopetes_spadiceus,Hylopetes spadiceus,9,1,3,species_ready,body_form|primary_color|tail_shape,hylopetes_spadiceus
chimarrogale_styani,Chimarrogale styani,9,1,3,species_ready,body_form|observation_place|primary_color,chimarrogale_styani
nectogale_elegans,Nectogale elegans,9,1,4,species_ready,body_form|observation_place|ear_size_impression|primary_color,nectogale_elegans
cynopterus_brachyotis,Cynopterus brachyotis,9,1,4,species_ready,body_form|primary_color|bat_tail_visibility|bat_nose_shape,cynopterus_brachyotis
pteropus_vampyrus,Pteropus vampyrus,9,1,3,species_ready,body_form|primary_color|snout_shape_simple,pteropus_vampyrus
sphaerias_blanfordi,Sphaerias blanfordi,9,1,3,species_ready,body_form|primary_color|snout_shape_simple,sphaerias_blanfordi
pteropus_hypomelanus,Pteropus hypomelanus,9,1,4,species_ready,body_form|primary_color|bat_tail_visibility|body_size_impression,pteropus_hypomelanus
rhinolophus_trifoliatus,Rhinolophus trifoliatus,9,1,3,species_ready,body_form|primary_color|bat_tail_visibility,rhinolophus_trifoliatus
scotomanes_ornatus,Scotomanes ornatus,9,1,4,species_ready,body_form|primary_color|body_pattern|ear_size_impression,scotomanes_ornatus
arctictis_binturong,Arctictis binturong,9,1,2,species_ready,primary_color|body_form,arctictis_binturong
paradoxurus_musangus,Paradoxurus musangus,9,1,3,species_ready,body_form|primary_color|observation_place,paradoxurus_musangus
urva_auropunctata,Urva auropunctata,9,1,4,species_ready,body_form|primary_color|tail_impression|movement_seen,urva_auropunctata
vulpes_vulpes,Vulpes vulpes,9,1,3,species_ready,body_form|primary_color|snout_shape_simple,vulpes_vulpes
lutrogale_perspicillata,Lutrogale perspicillata,9,1,3,species_ready,body_form|primary_color|body_pattern,lutrogale_perspicillata
lutra_lutra,Lutra lutra,9,1,4,species_ready,body_form|primary_color|observation_place|tail_shape,lutra_lutra
rhinoceros_sondaicus,Rhinoceros sondaicus,9,1,3,species_ready,body_form|body_covering|snout_shape_simple,rhinoceros_sondaicus
muntiacus_feae,Muntiacus feae,9,1,4,species_ready,body_form|primary_color|body_pattern|body_size_impression,muntiacus_feae
pseudois_nayaur,Pseudois nayaur,9,1,3,species_ready,body_form|primary_color|body_pattern,pseudois_nayaur
orcaella_brevirostris,Orcaella brevirostris,9,1,2,species_ready,body_form|observation_place,orcaella_brevirostris
stenella_coeruleoalba,Stenella coeruleoalba,9,1,3,species_ready,body_form|cetacean_color_pattern|body_covering,stenella_coeruleoalba
nycticebus_bengalensis,Nycticebus bengalensis,10,1,4,species_ready,body_form|tail_impression|primate_face_marking|body_pattern,nycticebus_bengalensis
lepus_peguensis,Lepus peguensis,10,1,2,species_ready,body_form|primary_color,lepus_peguensis
tamiops_mcclellandii,Tamiops mcclellandii,10,1,3,species_ready,body_form|primary_color|rodent_tail_type,tamiops_mcclellandii
cannomys_badius,Cannomys badius,10,1,4,species_ready,body_form|tail_impression|movement_seen|ear_size_impression,cannomys_badius
maxomys_surifer,Maxomys surifer,10,1,4,species_ready,primary_color|body_form|movement_seen|rodent_tail_type,maxomys_surifer
vandeleuria_oleracea,Vandeleuria oleracea,10,1,4,species_ready,primary_color|body_form|body_pattern|tail_shape,vandeleuria_oleracea
niviventer_fulvescens,Niviventer fulvescens,10,1,4,species_ready,primary_color|body_form|movement_seen|rodent_tail_type,niviventer_fulvescens
anourosorex_squamipes,Anourosorex squamipes,10,1,4,species_ready,body_form|primary_color|movement_seen|tail_impression,anourosorex_squamipes
rousettus_leschenaultii,Rousettus leschenaultii,10,1,4,species_ready,body_form|primary_color|bat_tail_visibility|bat_nose_shape,rousettus_leschenaultii
eonycteris_spelaea,Eonycteris spelaea,10,1,3,species_ready,body_form|primary_color|snout_shape_simple,eonycteris_spelaea
rousettus_amplexicaudatus,Rousettus amplexicaudatus,10,1,3,species_ready,body_form|primary_color|bat_tail_visibility,rousettus_amplexicaudatus
macroglossus_sobrinus,Macroglossus sobrinus,10,1,5,species_ready,body_form|primary_color|body_pattern|movement_seen|bat_tail_visibility,macroglossus_sobrinus
kerivoula_picta,Kerivoula picta,10,1,4,species_ready,body_form|primary_color|body_pattern|ear_shape_simple,kerivoula_picta
pardofelis_marmorata,Pardofelis marmorata,10,1,3,species_ready,body_form|carnivore_tail_marking|movement_seen,pardofelis_marmorata
neofelis_nebulosa,Neofelis nebulosa,10,1,3,species_ready,body_form|body_pattern|tail_impression,neofelis_nebulosa
paguma_larvata,Paguma larvata,10,1,4,species_ready,body_form|primary_color|tail_impression|movement_seen,paguma_larvata
canis_lupus,Canis lupus,10,1,2,species_ready,body_form|primary_color,canis_lupus
aonyx_cinereus,Aonyx cinereus,10,1,4,species_ready,body_form|primary_color|observation_place|tail_shape,aonyx_cinereus
helarctos_malayanus,Helarctos malayanus,10,1,3,species_ready,body_form|tail_impression|snout_shape_simple,helarctos_malayanus
elaphodus_cephalophus,Elaphodus cephalophus,10,1,5,species_ready,body_form|primary_color|body_size_impression|ear_size_impression|body_pattern,elaphodus_cephalophus
physeter_macrocephalus,Physeter macrocephalus,10,1,3,species_ready,body_form|cetacean_color_pattern|body_covering,physeter_macrocephalus
petinomys_vordermanni,Petinomys vordermanni,11,1,3,species_ready,body_form|primary_color|body_pattern,petinomys_vordermanni
rhizomys_pruinosus,Rhizomys pruinosus,11,1,4,species_ready,body_form|tail_impression|movement_seen|ear_size_impression,rhizomys_pruinosus
berylmys_berdmorei,Berylmys berdmorei,11,1,4,species_ready,body_form|primary_color|tail_impression|movement_seen,berylmys_berdmorei
berylmys_bowersi,Berylmys bowersi,11,1,4,species_ready,body_form|primary_color|tail_impression|movement_seen,berylmys_bowersi
bandicota_indica,Bandicota indica,11,1,3,species_ready,body_form|primary_color|tail_impression,bandicota_indica
hylomys_suillus,Hylomys suillus,11,1,3,species_ready,body_form|primary_color|tail_impression,hylomys_suillus
euroscaptor_grandis,Euroscaptor grandis,11,1,3,species_ready,body_form|primary_color|leg_foot_appearance,euroscaptor_grandis
pteropus_medius,Pteropus medius,11,1,3,species_ready,body_form|primary_color|bat_nose_shape,pteropus_medius
craseonycteris_thonglongyai,Craseonycteris thonglongyai,11,1,3,species_ready,body_form|primary_color|bat_nose_shape,craseonycteris_thonglongyai
prionailurus_viverrinus,Prionailurus viverrinus,11,1,2,species_ready,body_form|primary_color,prionailurus_viverrinus
prionodon_pardicolor,Prionodon pardicolor,11,1,4,species_ready,body_form|primary_color|ear_shape_simple|body_pattern,prionodon_pardicolor
melogale_moschata,Melogale moschata,11,1,4,species_ready,body_form|tail_impression|body_pattern|primary_color,melogale_moschata
budorcas_taxicolor,Budorcas taxicolor,11,1,3,species_ready,body_form|primary_color|body_pattern,budorcas_taxicolor
balaenoptera_musculus,Balaenoptera musculus,11,1,4,species_ready,body_form|cetacean_color_pattern|primary_color|cetacean_dorsal_fin,balaenoptera_musculus
orcinus_orca,Orcinus orca,11,1,3,species_ready,primary_color|body_form|cetacean_color_pattern,orcinus_orca
belomys_pearsonii,Belomys pearsonii,12,1,3,species_ready,body_form|primary_color|body_pattern,belomys_pearsonii
apodemus_agrarius,Apodemus agrarius,12,1,3,species_ready,body_form|tail_impression|body_pattern,apodemus_agrarius
mus_pahari,Mus pahari,12,1,3,species_ready,body_form|tail_impression|rodent_tail_type,mus_pahari
mus_cervicolor,Mus cervicolor,12,1,4,species_ready,body_form|tail_impression|ear_size_impression|movement_seen,mus_cervicolor
mus_caroli,Mus caroli,12,1,5,species_ready,body_form|tail_impression|primary_color|body_pattern|ear_size_impression,mus_caroli
rattus_nitidus,Rattus nitidus,12,1,4,species_ready,body_form|primary_color|rodent_tail_type|leg_foot_appearance,rattus_nitidus
vernaya_fulva,Vernaya fulva,12,1,4,species_ready,primary_color|body_form|body_pattern|tail_shape,vernaya_fulva
urva_urva,Urva urva,12,1,4,species_ready,body_form|primary_color|body_pattern|movement_seen,urva_urva
cuon_alpinus,Cuon alpinus,12,1,3,species_ready,body_form|ear_shape_simple|primary_color,cuon_alpinus
ailurus_fulgens,Ailurus fulgens,12,1,6,species_ready,primary_color|movement_seen|tail_impression|snout_shape_simple|observation_place|body_size_impression,ailurus_fulgens
bandicota_bengalensis,Bandicota bengalensis,13,1,4,species_ready,body_form|tail_impression|movement_seen|primary_color,bandicota_bengalensis
mus_musculus,Mus musculus,13,1,3,species_ready,body_form|observation_place|tail_impression,mus_musculus
rattus_rattus,Rattus rattus,13,1,3,species_ready,primary_color|body_form|rodent_tail_type,rattus_rattus
rattus_exulans,Rattus exulans,13,1,5,species_ready,body_form|tail_impression|primary_color|body_pattern|ear_size_impression,rattus_exulans
uropsilus_soricipes,Uropsilus soricipes,13,1,3,species_ready,body_form|primary_color|leg_foot_appearance,uropsilus_soricipes
