species_key,scientific_name,body_size_impression,body_form,body_covering,movement_seen,observation_place,time_seen,primary_color,body_pattern,tail_impression,tail_shape,ear_size_impression,ear_shape_simple,snout_shape_simple,leg_foot_appearance,horns_or_antlers,horn_shape_simple,tusks_visible,quills_or_spines_visible,gliding_membrane_visible,bat_nose_shape,bat_tail_visibility,rodent_tail_type,primate_face_marking,carnivore_face_marking,carnivore_tail_marking,cetacean_dorsal_fin,cetacean_beak,cetacean_color_pattern,mole_front_feet,primate_brow_pattern,squirrel_ventral_or_side_pattern,gliding_mammal_marking_pattern,ungulate_marking_layout,cetacean_head_or_body_marking,ungulate_horn_or_antler_layout,bat_face_or_shoulder_layout,rodent_tail_relative_length
ratufa_bicolor,Ratufa bicolor,,squirrel_like,fur_or_hair,,tree_or_bush,,black,patched,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
belomys_pearsonii,Belomys pearsonii,,gliding_mammal_like,fur_or_hair,gliding,tree_or_bush,,brown,mixed,medium,bushy,medium,rounded,,,,,,,yes,,,bushy,,,,,,,,,,,,,,,
ochotona_thibetana,Ochotona thibetana,,rabbit_hare_like,fur_or_hair,,ground,day,yellowish_or_buff,,no_obvious_tail,,small,rounded,,,,,,,,,,,,,,,,,,,,,,,,,
lepus_peguensis,Lepus peguensis,,rabbit_hare_like,fur_or_hair,hopping,ground,night,brown,mixed,short,,large,long_upright,,,,,,,,,,,,,,,,,,,,,,,,,
lepus_comus,Lepus comus,rabbit_or_cat_sized,rabbit_hare_like,fur_or_hair,,ground,,grey,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
petaurista_magnificus,Petaurista magnificus,,gliding_mammal_like,fur_or_hair,gliding,tree_or_bush,,reddish_or_orange,mixed,very_long,bushy,,,,,,,,,yes,,,bushy,,,,,,,,,,spotted_or_mottled_body,,,,,
hylopetes_spadiceus,Hylopetes spadiceus,,gliding_mammal_like,fur_or_hair,gliding,tree_or_bush,night,dark_brown,patched,,flattened,,,,,,,,,yes,,,,,,,,,,,,,,,,,,
hylopetes_phayrei,Hylopetes phayrei,,gliding_mammal_like,fur_or_hair,gliding,tree_or_bush,,brown,patched,,,,,,,,,,,yes,,,,,,,,,,,,,pale_throat_or_belly,,,,,
petaurista_alborufus,Petaurista alborufus,,squirrel_like,fur_or_hair,gliding,tree_or_bush,,reddish_or_orange,patched,long,,,,,,,,,,yes,,,,,,,,,,,,,,,,,,
petaurista_petaurista,Petaurista petaurista,,gliding_mammal_like,fur_or_hair,gliding,tree_or_bush,,reddish_or_orange,,very_long,bushy,,,,,,,,,yes,,,,,,,,,,,,,plain_reddish_body,,,,,
petaurista_elegans,Petaurista elegans,rabbit_or_cat_sized,gliding_mammal_like,fur_or_hair,gliding,tree_or_bush,,dark_brown,,very_long,bushy,,,,,,,,,yes,,,,,,,,,,,,,spotted_or_mottled_body,,,,,
hylopetes_alboniger,Hylopetes alboniger,,gliding_mammal_like,fur_or_hair,gliding,tree_or_bush,,grey,patched,,,,,,,,,,,yes,,,,,,,,,,,,,,,,,,
eupetaurus_nivamons,Eupetaurus nivamons,,gliding_mammal_like,fur_or_hair,gliding,tree_or_bush,,brown,patched,very_long,bushy,medium,pointed,,,,,,,yes,,,bushy,,,,,,,,,,long_black_tail_tip,,,,,
petaurista_caniceps,Petaurista caniceps,,gliding_mammal_like,fur_or_hair,gliding,tree_or_bush,,mixed,patched,very_long,bushy,,,,,,,,,yes,,,bushy,,,,,,,,,,grey_head_white_throat_eye_ring,,,,,
olisthomys_morrisi,Olisthomys morrisi,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
callosciurus_erythraeus,Callosciurus erythraeus,,squirrel_like,fur_or_hair,climbing,tree_or_bush,day,mixed,,long,bushy,,,,,,,,,,,,bushy,,,,,,,,,reddish_or_orange_belly,,,,,,
petaurista_sybilla,Petaurista sybilla,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
callosciurus_finlaysonii,Callosciurus finlaysonii,,squirrel_like,fur_or_hair,climbing,,day,mixed,,long,bushy,,,,,,,,,,,,bushy,,,,,,,,,,,,,,,
petaurista_philippensis,Petaurista philippensis,rabbit_or_cat_sized,gliding_mammal_like,fur_or_hair,gliding,tree_or_bush,,dark_brown,,very_long,bushy,,,,,,,,,yes,,,,,,,,,,,,,pale_face_dark_tail,,,,,
petinomys_vordermanni,Petinomys vordermanni,,gliding_mammal_like,fur_or_hair,gliding,tree_or_bush,,mixed,masked,long,bushy,medium,,,,,,,,yes,,,bushy,,,,,,,,,,,,,,,
priapomys_leonardi,Priapomys leonardi,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
petaurista_yunanensis,Petaurista yunanensis,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
callosciurus_caniceps,Callosciurus caniceps,,squirrel_like,fur_or_hair,climbing,tree_or_bush,,mixed,plain,long,bushy,,,,,,,,,,,,bushy,,,,,,,,,pale_or_grey_belly,,,,,,
dremomys_rufigenis,Dremomys rufigenis,,squirrel_like,fur_or_hair,climbing,,day,grey,,short,thick,,,long_pointed,,,,,,,,,,,,,,,,,,,,,,,,
tamiops_swinhoei,Tamiops swinhoei,mouse_or_smaller,squirrel_like,fur_or_hair,climbing,tree_or_bush,day,brown,striped,,bushy,,,,,,,,,,,,bushy,,,,,,,,,bold_side_stripes,,,,,,
callosciurus_phayrei,Callosciurus phayrei,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
dremomys_lokriah,Dremomys lokriah,,squirrel_like,fur_or_hair,climbing,tree_or_bush,,grey,patched,long,bushy,,,,,,,,,,,,bushy,,,,,,,,,reddish_or_orange_belly,,,,,,
dremomys_pernyi,Dremomys pernyi,,squirrel_like,fur_or_hair,walking_or_running,ground,day,grey,,,bushy,,,long_pointed,,,,,,,,,bushy,,,,,,,,,pale_or_grey_belly,,,,,,
tamiops_mcclellandii,Tamiops mcclellandii,mouse_or_smaller,squirrel_like,fur_or_hair,climbing,,day,brown,striped,long,bushy,,,,,,,,,,,,furry_not_bushy,,,,,,,,,,,,,,,
menetes_berdmorei,Menetes berdmorei,,squirrel_like,fur_or_hair,walking_or_running,ground,day,grey,striped,,,,,,,,,,,,,,bushy,,,,,,,,,bold_side_stripes,,,,,,
callosciurus_quinquestriatus,Callosciurus quinquestriatus,rabbit_or_cat_sized,squirrel_like,fur_or_hair,climbing,tree_or_bush,,brown,striped,long,bushy,,,,,,,,,,,,bushy,,,,,,,,,bold_side_stripes,,,,,,
callosciurus_pygerythrus,Callosciurus pygerythrus,,squirrel_like,fur_or_hair,climbing,,day,brown,,long,bushy,,,,,,,,,,,,bushy,,,,,,,,,pale_or_grey_belly,,,,,,
neodon_forresti,Neodon forresti,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
apodemus_peninsulae,Apodemus peninsulae,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
rhizomys_sinensis,Rhizomys sinensis,rabbit_or_cat_sized,mouse_rat_like,fur_or_hair,,,,grey,,short,,not_obvious,,,broad_digging_feet,,,,,,,,mostly_bare_or_scaly,,,,,,,,,,,,,,,
apodemus_draco,Apodemus draco,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
microtus_clarkei,Microtus clarkei,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
apodemus_latronum,Apodemus latronum,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
cannomys_badius,Cannomys badius,rabbit_or_cat_sized,mouse_rat_like,fur_or_hair,digging_or_burrowing,ground,,brown,,short,,small,,,broad_digging_feet,,,,,,,,mostly_bare_or_scaly,,,,,,,,,,,,,,,
rhizomys_pruinosus,Rhizomys pruinosus,rabbit_or_cat_sized,mouse_rat_like,fur_or_hair,walking_or_running,ground,,brown,mixed,short,,small,,,broad_digging_feet,,,,,,,,mostly_bare_or_scaly,,,,,,,,,,,,,,,
rhizomys_sumatrensis,Rhizomys sumatrensis,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
eothenomys_cachinus,Eothenomys cachinus,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
eothenomys_melanogaster,Eothenomys melanogaster,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
apodemus_agrarius,Apodemus agrarius,,mouse_rat_like,fur_or_hair,walking_or_running,ground,,brown,dorsal_stripe,medium,,small,rounded,long_pointed,small_rodent_like_feet,,,,,,,,mostly_bare_or_scaly,,,,,,,,,,,,,,,
chiropodomys_gliroides,Chiropodomys gliroides,,mouse_rat_like,fur_or_hair,climbing,tree_or_bush,,grey,patched,very_long,tufted_tip,large,rounded,,small_rodent_like_feet,,,,,,,,furry_not_bushy,,,,,,,,,,,,,,,
bandicota_bengalensis,Bandicota bengalensis,,mouse_rat_like,fur_or_hair,digging_or_burrowing,ground,night,brown,plain,medium,,small,rounded,short_blunt,small_rodent_like_feet,,,,,,,,mostly_bare_or_scaly,,,,,,,,,,,,,,,
bandicota_savilei,Bandicota savilei,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
berylmys_manipulus,Berylmys manipulus,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
berylmys_berdmorei,Berylmys berdmorei,,mouse_rat_like,fur_or_hair,digging_or_burrowing,ground,,grey,patched,long,,large,rounded,,small_rodent_like_feet,,,,,,,,furry_not_bushy,,,,,,,,,,,,,,,
berylmys_bowersi,Berylmys bowersi,,mouse_rat_like,fur_or_hair,digging_or_burrowing,ground,,grey,patched,very_long,,large,rounded,,small_rodent_like_feet,,,,,,,,furry_not_bushy,,,,,,,,,,,,,,,
chiromyscus_langbianis,Chiromyscus langbianis,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
berylmys_mackenziei,Berylmys mackenziei,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
hapalomys_longicaudatus,Hapalomys longicaudatus,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
diomys_crumpi,Diomys crumpi,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
chiromyscus_chiropus,Chiromyscus chiropus,,mouse_rat_like,fur_or_hair,climbing,tree_or_bush,,reddish_or_orange,patched,very_long,,large,rounded,,small_rodent_like_feet,,,,,,,,furry_not_bushy,,,,,,,,,,,,,,,
bandicota_indica,Bandicota indica,,mouse_rat_like,fur_or_hair,digging_or_burrowing,ground,night,dark_brown,plain,medium,,,,short_blunt,small_rodent_like_feet,,,,,,,,mostly_bare_or_scaly,,,,,,,,,,,,,,,
leopoldamys_vociferans,Leopoldamys vociferans,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
maxomys_surifer,Maxomys surifer,,mouse_rat_like,fur_or_hair,walking_or_running,ground,,reddish_or_orange,patched,long,,,,long_pointed,small_rodent_like_feet,,,,,,,,mostly_bare_or_scaly,,,,,,,,,,,,,,,
micromys_pygmaeus,Micromys pygmaeus,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
mus_booduga,Mus booduga,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
maxomys_whiteheadi,Maxomys whiteheadi,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
micromys_erythrotis,Micromys erythrotis,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
millardia_kathleenae,Millardia kathleenae,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
leopoldamys_edwardsi,Leopoldamys edwardsi,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
leopoldamys_herberti,Leopoldamys herberti,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
mus_pahari,Mus pahari,,mouse_rat_like,fur_or_hair,walking_or_running,ground,,grey,patched,medium,,small,rounded,long_pointed,small_rodent_like_feet,,,,,,,,furry_not_bushy,,,,,,,,,,,,,,,
niviventer_brahma,Niviventer brahma,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
mus_shortridgei,Mus shortridgei,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
niviventer_confucianus,Niviventer confucianus,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
niviventer_eha,Niviventer eha,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
mus_cervicolor,Mus cervicolor,,mouse_rat_like,fur_or_hair,walking_or_running,ground,,brown,plain,medium,,medium,rounded,long_pointed,small_rodent_like_feet,,,,,,,,mostly_bare_or_scaly,,,,,,,,,,,,,,,
mus_musculus,Mus musculus,,mouse_rat_like,fur_or_hair,walking_or_running,building_or_roof,night,brown,plain,long,,large,rounded,long_pointed,small_rodent_like_feet,,,,,,,,mostly_bare_or_scaly,,,,,,,,,,,,,,,
mus_lepidoides,Mus lepidoides,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
mus_caroli,Mus caroli,,mouse_rat_like,fur_or_hair,walking_or_running,ground,,brown,patched,long,,medium,rounded,long_pointed,small_rodent_like_feet,,,,,,,,mostly_bare_or_scaly,,,,,,,,,,,,,,,
niviventer_cremoriventer,Niviventer cremoriventer,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
mus_nitidulus,Mus nitidulus,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
mus_cookii,Mus cookii,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
niviventer_niviventer,Niviventer niviventer,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
rattus_nitidus,Rattus nitidus,,mouse_rat_like,fur_or_hair,climbing,ground,,grey,plain,long,,medium,rounded,long_pointed,small_rodent_like_feet,,,,,,,,mostly_bare_or_scaly,,,,,,,,,,,,,,,
rattus_pyctoris,Rattus pyctoris,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
rattus_tanezumi,Rattus tanezumi,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
rattus_rattus,Rattus rattus,,mouse_rat_like,fur_or_hair,climbing,building_or_roof,night,black,plain,very_long,,large,rounded,long_pointed,small_rodent_like_feet,,,,,,,,mostly_bare_or_scaly,,,,,,,,,,,,,,,
sundamys_muelleri,Sundamys muelleri,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
vandeleuria_oleracea,Vandeleuria oleracea,,mouse_rat_like,fur_or_hair,climbing,tree_or_bush,,reddish_or_orange,plain,very_long,thin,,,,small_rodent_like_feet,,,,,,,,furry_not_bushy,,,,,,,,,,,,,,,
niviventer_fulvescens,Niviventer fulvescens,,mouse_rat_like,fur_or_hair,walking_or_running,ground,,reddish_or_orange,patched,very_long,,,,long_pointed,small_rodent_like_feet,,,,,,,,furry_not_bushy,,,,,,,,,,,,,,,
niviventer_tenaster,Niviventer tenaster,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
rattus_exulans,Rattus exulans,,mouse_rat_like,fur_or_hair,walking_or_running,ground,night,brown,patched,long,,large,rounded,long_pointed,small_rodent_like_feet,,,,,,,,mostly_bare_or_scaly,,,,,,,,,,,,,,,
rattus_andamanensis,Rattus andamanensis,,mouse_rat_like,fur_or_hair,walking_or_running,ground,night,brown,plain,long,,medium,rounded,long_pointed,small_rodent_like_feet,,,,,,,,mostly_bare_or_scaly,,,,,,,,,,,,,,,tail_longer_than_body
rattus_norvegicus,Rattus norvegicus,,mouse_rat_like,fur_or_hair,walking_or_running,ground,night,brown,plain,long,,medium,rounded,long_pointed,small_rodent_like_feet,,,,,,,,mostly_bare_or_scaly,,,,,,,,,,,,,,,tail_shorter_than_body
neotetracus_sinensis,Neotetracus sinensis,mouse_or_smaller,shrew_mole_like,fur_or_hair,,ground,night,brown,,long,,,,,,,,,,,,,,,,,,,,,,,,,,,,
crocidura_attenuata,Crocidura attenuata,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
crocidura_dracula,Crocidura dracula,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
echinosorex_gymnura,Echinosorex gymnura,rabbit_or_cat_sized,shrew_mole_like,fur_or_hair,,ground,,mixed,patched,medium,,,,long_pointed,,,,,,,,,,,,,,,,,,,,,,,,
hylomys_suillus,Hylomys suillus,,shrew_mole_like,fur_or_hair,walking_or_running,ground,,brown,plain,short,,small,rounded,long_pointed,small_rodent_like_feet,,,,,,,,,,,,,,,,,,,,,,,
atherurus_macrourus,Atherurus macrourus,,mouse_rat_like,spines_or_quills,,ground,night,dark_brown,,long,tufted_tip,,,,,,,,yes,,,,,,,,,,,,,,,,,,,
crocidura_cranbrooki,Crocidura cranbrooki,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
hystrix_brachyura,Hystrix brachyura,,porcupine_like,spines_or_quills,,ground,night,dark_brown,banded,short,,,,,,,,,yes,,,,,,,,,,,,,,,,,,,
crocidura_fuliginosa,Crocidura fuliginosa,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
vernaya_fulva,Vernaya fulva,,mouse_rat_like,fur_or_hair,climbing,tree_or_bush,,yellowish_or_buff,plain,very_long,thin,medium,rounded,,small_rodent_like_feet,,,,,,,,furry_not_bushy,,,,,,,,,,,,,,,
suncus_murinus,Suncus murinus,mouse_or_smaller,shrew_mole_like,fur_or_hair,walking_or_running,ground,night,mixed,,,,,,long_pointed,,,,,,,,,,,,,,,,,,,,,,,,
anourosorex_assamensis,Anourosorex assamensis,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
blarinella_wardi,Blarinella wardi,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
chimarrogale_styani,Chimarrogale styani,,shrew_mole_like,fur_or_hair,swimming,freshwater_or_wetland,,dark_brown,patched,long,,,,long_pointed,webbed_feet,,,,,,,,,,,,,,,,,,,,,,,
chodsigoa_furva,Chodsigoa furva,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
crocidura_rapax,Crocidura rapax,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
anourosorex_squamipes,Anourosorex squamipes,mouse_or_smaller,shrew_mole_like,fur_or_hair,digging_or_burrowing,ground,,grey,,short,,not_obvious,,long_pointed,broad_digging_feet,,,,,,,,,,,,,,,,,,,,,,,
chimarrogale_himalayica,Chimarrogale himalayica,mouse_or_smaller,shrew_mole_like,fur_or_hair,swimming,freshwater_or_wetland,,grey,,,thin,small,,,,,,,,,,,,,,,,,,,,,,,,,,
suncus_etruscus,Suncus etruscus,mouse_or_smaller,shrew_mole_like,fur_or_hair,,ground,,grey,,long,,large,,long_pointed,,,,,,,,,,,,,,,,,,,,,,,,
crocidura_indochinensis,Crocidura indochinensis,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
sorex_bedfordiae,Sorex bedfordiae,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
euroscaptor_grandis,Euroscaptor grandis,,shrew_mole_like,fur_or_hair,digging_or_burrowing,ground,,dark_brown,plain,short,,not_obvious,,long_pointed,broad_digging_feet,,,,,,,,,,,,,,,broad_digging_feet,,,,,,,,
parascaptor_leucura,Parascaptor leucura,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
chodsigoa_parca,Chodsigoa parca,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
episoriculus_caudatus,Episoriculus caudatus,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
episoriculus_macrurus,Episoriculus macrurus,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
nectogale_elegans,Nectogale elegans,mouse_or_smaller,shrew_mole_like,fur_or_hair,swimming,freshwater_or_wetland,,grey,,,,not_obvious,,long_pointed,webbed_feet,,,,,,,,,,,,,,,,,,,,,,,
episoriculus_umbrinus,Episoriculus umbrinus,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
soriculus_nigrescens,Soriculus nigrescens,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
episoriculus_baileyi,Episoriculus baileyi,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
euroscaptor_klossi,Euroscaptor klossi,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
megaerops_niphanae,Megaerops niphanae,mouse_or_smaller,bat_like,fur_or_hair,flying,,,grey,plain,,,,,short_blunt,,,,,,,,tail_within_membrane,,,,,,,,,,,,,,,,
uropsilus_soricipes,Uropsilus soricipes,,shrew_mole_like,fur_or_hair,digging_or_burrowing,ground,,dark_brown,plain,long,thin,medium,rounded,long_pointed,small_rodent_like_feet,,,,,,,,,,,,,,,normal_small_feet,,,,,,,,
cynopterus_brachyotis,Cynopterus brachyotis,mouse_or_smaller,bat_like,fur_or_hair,flying,,,brown,plain,,,,,long_narrow,,,,,,,plain,tail_visible,,,,,,,,,,,,,,,,
uropsilus_gracilis,Uropsilus gracilis,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
scaptonyx_fusicaudus,Scaptonyx fusicaudus,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
cynopterus_sphinx,Cynopterus sphinx,mouse_or_smaller,bat_like,fur_or_hair,flying,,,reddish_or_orange,plain,,,,,long_narrow,,,,,,,,tail_tip_beyond_membrane,,,,,,,,,,,,,,,,
uropsilus_investigator,Uropsilus investigator,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
uropsilus_nivatus,Uropsilus nivatus,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
pteropus_vampyrus,Pteropus vampyrus,rabbit_or_cat_sized,bat_like,fur_or_hair,flying,tree_or_bush,night,dark_brown,,,,,pointed,long_pointed,,,,,,,,,,,,,,,,,,,,,,,,
sphaerias_blanfordi,Sphaerias blanfordi,mouse_or_smaller,bat_like,fur_or_hair,flying,,,dark_brown,plain,,,,rounded,short_blunt,,,,,,,,no_tail_visible,,,,,,,,,,,,,,,,
